Enabling Source,Enabling Component,Enabling Component Description,Dependent Component,Dependent Component Description,Dependent Source,Linkage mandated by what US Code or OMB policy?,Enabling Source URL,Dependent Source URL,Enabling Source Agency,Dependent Source Agency,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,"AMS SP 2022 1.1 – Increase Agricultural Opportunities by Supporting a Competitive, Fact-based, Data-driven Agricultural System","AMS SP 2022 1.1 – Increase Agricultural Opportunities by Supporting a Competitive, Fact-based, Data-driven Agricultural System",USDA 2022 SG 3: Foster an Equitable and Competitive Marketplace for All Agricultural Producers,"Expanding international marketing opportunities for U.S. farmers and exporters is critical to fostering business and income growth across rural America. It is essential for USDA to continue its efforts to promote American agricultural products and exports through promotion activities, development of international standards, removal of trade barriers by monitoring and enforcing existing trade agreements, and negotiation of trade agreements that benefit the U.S. agricultural economy. USDA will also work with developing countries to grow their economies and facilitate trade, developing markets of the future for all our producers.
",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 1.2 – Provide Architectural Design and Market Development Support to Expand Local and Regional Food Systems,AMS SP 2022 1.2 – Provide Architectural Design and Market Development Support to Expand Local and Regional Food Systems,"USDA 2022 SG 6: Attract, Inspire, and Retain an Engaged and Motivated Workforce that’s Proud to Represent USDA","At USDA, we are committed to reaching new heights by recruiting, onboarding, supporting, and retaining a diverse and talented workforce and cultivating a workplace environment that is collaborative, service oriented, mission-centered, healthy, inclusive, and welcoming. This includes leaders and staff who work together to build a culture that welcomes, respects, and supports everyone in reaching their highest potential by ensuring equal opportunity compliance, providing proactive civil rights, and championing USDA’s zero tolerance policy for unlawful discrimination and sexual harassment for all employees. We believe this focus on organizational culture will enable us to build the USDA back better as a premier organization and model employer that lives by its values.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 2.1 – Export Verification & Certification Programs: Facilitate the trade of U.S. agricultural products by providing user-fee funded programs to U.S. agricultural companies that either verify or certify to foreign market requirements that would otherwise inhibit market access of U.S. agricultural products,AMS SP 2022 2.1 – Export Verification & Certification Programs: Facilitate the trade of U.S. agricultural products by providing user-fee funded programs to U.S. agricultural companies that either verify or certify to foreign market requirements that would otherwise inhibit market access of U.S. agricultural products,USDA 2022 3.3: Expand All Producers’ Access to Global Markets Through Negotiation and Enforcement of Trade Agreements,"Agricultural exports are crucial to the economic viability of U.S. farmers and ranchers. USDA strives to ensure that U.S. exporters can sell safe, wholesome food and agricultural products around the world. Supporting a rules-based global trading system, USDA negotiates, monitors, and enforces trade agreements to ensure global market opportunities for U.S. agriculture. USDA administers a number of programs to support the expansion of global market access and uses its market development programs to support the trade-policy efforts of industry partners. The Department also works with other government Agencies, trade associations, and organizations to maintain and establish transparent, science-based standards for U.S. agricultural products. To maintain a level playing field for exporters, USDA provides technical and scientific expertise to successfully address barriers to trade, such as tariffs, food safety, and animal and plant health issues. Through its monitoring and enforcement efforts, the Department will also ensure the realization of anticipated benefits when new agreements are implemented.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,"AMS SP 2022 2.2 – Grading: AMS user-fee grading programs will provide grading, inspection and auditing services that are timely, unbiased, and a good value to the industry","AMS SP 2022 2.2 – Grading: AMS user-fee grading programs will provide grading, inspection and auditing services that are timely, unbiased, and a good value to the industry",USDA 2022 4.3: Prevent Foodborne Illness and Protect Public Health,"The USDA Food Safety and Inspection Service (FSIS) is committed to protecting public health, including the health of consumers and the safety of workers, by ensuring the safety of the Nation’s commercial supply of meat, poultry, and egg products. Thousands of inspectors across the Nation work to achieve this mission every day by verifying industry compliance with U.S. food safety regulations. USDA’s regulatory oversight and enforcement extends to both imported and domestically produced food products and assures consistent application of regulations and statutes.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 2.3 – Develop Commodity Standards and Programs to Facilitate Global Trade and Economic Growth,AMS SP 2022 2.3 – Develop Commodity Standards and Programs to Facilitate Global Trade and Economic Growth,USDA 2022 SG 3: Foster an Equitable and Competitive Marketplace for All Agricultural Producers,"Expanding international marketing opportunities for U.S. farmers and exporters is critical to fostering business and income growth across rural America. It is essential for USDA to continue its efforts to promote American agricultural products and exports through promotion activities, development of international standards, removal of trade barriers by monitoring and enforcing existing trade agreements, and negotiation of trade agreements that benefit the U.S. agricultural economy. USDA will also work with developing countries to grow their economies and facilitate trade, developing markets of the future for all our producers.
",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 3.1 – National Organic Program (NOP): Increase Agricultural Opportunities by Establishing Clear Standards that Ensure a Consistent Marketing System,AMS SP 2022 3.1 – National Organic Program (NOP): Increase Agricultural Opportunities by Establishing Clear Standards that Ensure a Consistent Marketing System,USDA 2022 3.4: Expand International Marketing Opportunities and Build Demand in Developing Countries through Delivery of Technical Assistance and Capacity Building,"USDA advances global competitiveness through the delivery of market development programs, technical assistance, and trade capacity building. These programs support the development of export markets and adherence to a rules-based trading system. USDA administers programs to build the capacity of developing countries to integrate into the global economy and become full trading partners with the United States. USDA works with these countries to move them along the agricultural market spectrum from developing to developed economies with promising demand potential. The Department’s market development programs assist U.S. exporters in increasing awareness and demand for their products worldwide. USDA also partners with domestic agricultural industries, foreign governments, and agricultural scientists, as well as overseas farmers, cooperatives, and businesses, to expand international marketing opportunities. Harnessing its extensive network of technical and scientific expertise, USDA successfully administers and implements these programs globally to the benefit of U.S. farmers and ranchers.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 3.1 – National Organic Program (NOP): Increase Agricultural Opportunities by Establishing Clear Standards that Ensure a Consistent Marketing System,AMS SP 2022 3.1 – National Organic Program (NOP): Increase Agricultural Opportunities by Establishing Clear Standards that Ensure a Consistent Marketing System,USDA 2022 SG 3: Foster an Equitable and Competitive Marketplace for All Agricultural Producers,"Expanding international marketing opportunities for U.S. farmers and exporters is critical to fostering business and income growth across rural America. It is essential for USDA to continue its efforts to promote American agricultural products and exports through promotion activities, development of international standards, removal of trade barriers by monitoring and enforcing existing trade agreements, and negotiation of trade agreements that benefit the U.S. agricultural economy. USDA will also work with developing countries to grow their economies and facilitate trade, developing markets of the future for all our producers.
",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,"AMS SP 2022 3.2 – Ensure Research and Promotion Programs Operate in Compliance with Acts, Orders and Guidelines","AMS SP 2022 3.2 – Ensure Research and Promotion Programs Operate in Compliance with Acts, Orders and Guidelines","USDA 2022 SG 2: Ensure America’s Agricultural System is Equitable, Resilient, and Prosperous","A strong and prosperous agricultural sector is essential to the well-being of the U.S. economy. America’s farmers and ranchers ensure a reliable food supply, support job growth, and promote economic development. To maintain an equitable and competitive agricultural sector, USDA will safeguard animal and plant health, support farmers and ranchers’ ability to start and maintain profitable cooperatives and businesses and offer financial support to all producers affected by natural disasters. Additionally, USDA’s research agencies will continue to introduce high-performance plants and animals and offer integrated management options to increase the efficiency of farming practices.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 3.3 – Sustain Excellence in the Quality and Wholesomeness of Agricultural Products ,AMS SP 2022 3.3 – Sustain Excellence in the Quality and Wholesomeness of Agricultural Products ,USDA 2022 5.4: Promote Environmental Justice by Maximizing Sustainable and Green Economic Development in Rural and Tribal Communities,"Rural and Tribal communities are disproportionately impacted by the effects of climate change and other stressors, such as negative health impacts from air and water pollution and disruptions to critical food systems. For the many rural Americans whose livelihoods are dependent on the agriculture, forestry, and outdoor recreation industries, the threat of climate change is particularly dire, and these communities are often limited in their ability to adapt due to economic or social constraints. Growth in green jobs is critical for enhancing the sustainable economic growth of these communities.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
Agricultural Marketing Service Strategic Plan 2020-2024,AMS SP 2022 3.4 – Stabilize and Protect Markets,AMS SP 2022 3.4 – Stabilize and Protect Markets,"USDA 2022 SG 2: Ensure America’s Agricultural System is Equitable, Resilient, and Prosperous","A strong and prosperous agricultural sector is essential to the well-being of the U.S. economy. America’s farmers and ranchers ensure a reliable food supply, support job growth, and promote economic development. To maintain an equitable and competitive agricultural sector, USDA will safeguard animal and plant health, support farmers and ranchers’ ability to start and maintain profitable cooperatives and businesses and offer financial support to all producers affected by natural disasters. Additionally, USDA’s research agencies will continue to introduce high-performance plants and animals and offer integrated management options to increase the efficiency of farming practices.",USDA Strategic Plan 2022-2026,Agency,https://www.ams.usda.gov/sites/default/files/media/AMS_Strategic_Plan_2020_2024.pdf,https://www.usda.gov/sites/default/files/documents/usda-fy-2022-2026-strategic-plan.pdf,USDA,USDA,,,,,,,,,,,,,,,,,
