external_id,question_1,positive_effectiveness,positive_ease,positive_efficiency,positive_transparency,positive_humanity,positive_employee,positive_other,negative_effectiveness,negative_ease,negative_efficiency,negative_transparency,negative_humanity,negative_employee,negative_other,question_4
1,Data 1-1,Data 1-2,Data 1-3,Data 1-4,Data 1-5,Data 1-6,Data 1-7,Data 1-8,Data 1-9,Data 1-10,Data 1-11,Data 1-12,Data 1-12,Data 1-12,Data 1-12,Data 1-12
2,Data 2-1,Data 2-2,Data 2-3,Data 2-4,Data 2-5,Data 2-6,Data 2-7,Data 2-8,Data 2-9,Data 2-10,Data 2-11,Data 2-12,Data 2-12,Data 2-12,Data 2-12,Data 2-12
3,Data 3-1,Data 3-2,Data 3-3,Data 3-4,Data 3-5,Data 3-6,Data 3-7,Data 3-8,Data 3-9,Data 3-10,Data 3-11,Data 3-12,Data 3-12,Data 3-12,Data 3-12,Data 3-12
4,Data 4-1,Data 4-2,Data 4-3,Data 4-4,Data 4-5,Data 4-6,Data 4-7,Data 4-8,Data 4-9,Data 4-10,Data 4-11,Data 4-12,Data 4-12,Data 4-12,Data 4-12,Data 4-12
5,Data 5-1,Data 5-2,Data 5-3,Data 5-4,Data 5-5,Data 5-6,Data 5-7,Data 5-8,Data 5-9,Data 5-10,Data 5-11,Data 5-12,Data 5-12,Data 5-12,Data 5-12,Data 5-12
6,Data 6-1,Data 6-2,Data 6-3,Data 6-4,Data 6-5,Data 6-6,Data 6-7,Data 6-8,Data 6-9,Data 6-10,Data 6-11,Data 6-12,Data 6-12,Data 6-12,Data 6-12,Data 6-12
7,Data 7-1,Data 7-2,Data 7-3,Data 7-4,Data 7-5,Data 7-6,Data 7-7,Data 7-8,Data 7-9,Data 7-10,Data 7-11,Data 7-12,Data 7-12,Data 7-12,Data 7-12,Data 7-12
8,Data 8-1,Data 8-2,Data 8-3,Data 8-4,Data 8-5,Data 8-6,Data 8-7,Data 8-8,Data 8-9,Data 8-10,Data 8-11,Data 8-12,Data 8-12,Data 8-12,Data 8-12,Data 8-12
9,Data 9-1,Data 9-2,Data 9-3,Data 9-4,Data 9-5,Data 9-6,Data 9-7,Data 9-8,Data 9-9,Data 9-10,Data 9-11,Data 9-12,Data 9-12,Data 9-12,Data 9-12,Data 9-12
10,Data 10-1,Data 10-2,Data 10-3,Data 10-4,Data 10-5,Data 10-6,Data 10-7,Data 10-8,Data 10-9,Data 10-10,Data 10-11,Data 10-12,Data 10-12,Data 10-12,Data 10-12,Data 10-12
11,Data 11-1,Data 11-2,Data 11-3,Data 11-4,Data 11-5,Data 11-6,Data 11-7,Data 11-8,Data 11-9,Data 11-10,Data 11-11,Data 11-12,Data 11-12,Data 11-12,Data 11-12,Data 11-12
12,Data 12-1,Data 12-2,Data 12-3,Data 12-4,Data 12-5,Data 12-6,Data 12-7,Data 12-8,Data 12-9,Data 12-10,Data 12-11,Data 12-12,Data 12-12,Data 12-12,Data 12-12,Data 12-12
13,Data 13-1,Data 13-2,Data 13-3,Data 13-4,Data 13-5,Data 13-6,Data 13-7,Data 13-8,Data 13-9,Data 13-10,Data 13-11,Data 13-12,Data 13-12,Data 13-12,Data 13-12,Data 13-12
14,Data 14-1,Data 14-2,Data 14-3,Data 14-4,Data 14-5,Data 14-6,Data 14-7,Data 14-8,Data 14-9,Data 14-10,Data 14-11,Data 14-12,Data 14-12,Data 14-12,Data 14-12,Data 14-12
15,Data 15-1,Data 15-2,Data 15-3,Data 15-4,Data 15-5,Data 15-6,Data 15-7,Data 15-8,Data 15-9,Data 15-10,Data 15-11,Data 15-12,Data 15-12,Data 15-12,Data 15-12,Data 15-12
16,Data 16-1,Data 16-2,Data 16-3,Data 16-4,Data 16-5,Data 16-6,Data 16-7,Data 16-8,Data 16-9,Data 16-10,Data 16-11,Data 16-12,Data 16-12,Data 16-12,Data 16-12,Data 16-12
17,Data 17-1,Data 17-2,Data 17-3,Data 17-4,Data 17-5,Data 17-6,Data 17-7,Data 17-8,Data 17-9,Data 17-10,Data 17-11,Data 17-12,Data 17-12,Data 17-12,Data 17-12,Data 17-12
18,Data 18-1,Data 18-2,Data 18-3,Data 18-4,Data 18-5,Data 18-6,Data 18-7,Data 18-8,Data 18-9,Data 18-10,Data 18-11,Data 18-12,Data 18-12,Data 18-12,Data 18-12,Data 18-12
19,Data 19-1,Data 19-2,Data 19-3,Data 19-4,Data 19-5,Data 19-6,Data 19-7,Data 19-8,Data 19-9,Data 19-10,Data 19-11,Data 19-12,Data 19-12,Data 19-12,Data 19-12,Data 19-12
20,Data 20-1,Data 20-2,Data 20-3,Data 20-4,Data 20-5,Data 20-6,Data 20-7,Data 20-8,Data 20-9,Data 20-10,Data 20-11,Data 20-12,Data 20-12,Data 20-12,Data 20-12,Data 20-12
21,Data 21-1,Data 21-2,Data 21-3,Data 21-4,Data 21-5,Data 21-6,Data 21-7,Data 21-8,Data 21-9,Data 21-10,Data 21-11,Data 21-12,Data 21-12,Data 21-12,Data 21-12,Data 21-12
22,Data 22-1,Data 22-2,Data 22-3,Data 22-4,Data 22-5,Data 22-6,Data 22-7,Data 22-8,Data 22-9,Data 22-10,Data 22-11,Data 22-12,Data 22-12,Data 22-12,Data 22-12,Data 22-12
23,Data 23-1,Data 23-2,Data 23-3,Data 23-4,Data 23-5,Data 23-6,Data 23-7,Data 23-8,Data 23-9,Data 23-10,Data 23-11,Data 23-12,Data 23-12,Data 23-12,Data 23-12,Data 23-12
24,Data 24-1,Data 24-2,Data 24-3,Data 24-4,Data 24-5,Data 24-6,Data 24-7,Data 24-8,Data 24-9,Data 24-10,Data 24-11,Data 24-12,Data 24-12,Data 24-12,Data 24-12,Data 24-12
25,Data 25-1,Data 25-2,Data 25-3,Data 25-4,Data 25-5,Data 25-6,Data 25-7,Data 25-8,Data 25-9,Data 25-10,Data 25-11,Data 25-12,Data 25-12,Data 25-12,Data 25-12,Data 25-12
26,Data 26-1,Data 26-2,Data 26-3,Data 26-4,Data 26-5,Data 26-6,Data 26-7,Data 26-8,Data 26-9,Data 26-10,Data 26-11,Data 26-12,Data 26-12,Data 26-12,Data 26-12,Data 26-12
27,Data 27-1,Data 27-2,Data 27-3,Data 27-4,Data 27-5,Data 27-6,Data 27-7,Data 27-8,Data 27-9,Data 27-10,Data 27-11,Data 27-12,Data 27-12,Data 27-12,Data 27-12,Data 27-12
28,Data 28-1,Data 28-2,Data 28-3,Data 28-4,Data 28-5,Data 28-6,Data 28-7,Data 28-8,Data 28-9,Data 28-10,Data 28-11,Data 28-12,Data 28-12,Data 28-12,Data 28-12,Data 28-12
29,Data 29-1,Data 29-2,Data 29-3,Data 29-4,Data 29-5,Data 29-6,Data 29-7,Data 29-8,Data 29-9,Data 29-10,Data 29-11,Data 29-12,Data 29-12,Data 29-12,Data 29-12,Data 29-12
30,Data 30-1,Data 30-2,Data 30-3,Data 30-4,Data 30-5,Data 30-6,Data 30-7,Data 30-8,Data 30-9,Data 30-10,Data 30-11,Data 30-12,Data 30-12,Data 30-12,Data 30-12,Data 30-12
31,Data 31-1,Data 31-2,Data 31-3,Data 31-4,Data 31-5,Data 31-6,Data 31-7,Data 31-8,Data 31-9,Data 31-10,Data 31-11,Data 31-12,Data 31-12,Data 31-12,Data 31-12,Data 31-12
32,Data 32-1,Data 32-2,Data 32-3,Data 32-4,Data 32-5,Data 32-6,Data 32-7,Data 32-8,Data 32-9,Data 32-10,Data 32-11,Data 32-12,Data 32-12,Data 32-12,Data 32-12,Data 32-12
33,Data 33-1,Data 33-2,Data 33-3,Data 33-4,Data 33-5,Data 33-6,Data 33-7,Data 33-8,Data 33-9,Data 33-10,Data 33-11,Data 33-12,Data 33-12,Data 33-12,Data 33-12,Data 33-12
34,Data 34-1,Data 34-2,Data 34-3,Data 34-4,Data 34-5,Data 34-6,Data 34-7,Data 34-8,Data 34-9,Data 34-10,Data 34-11,Data 34-12,Data 34-12,Data 34-12,Data 34-12,Data 34-12
35,Data 35-1,Data 35-2,Data 35-3,Data 35-4,Data 35-5,Data 35-6,Data 35-7,Data 35-8,Data 35-9,Data 35-10,Data 35-11,Data 35-12,Data 35-12,Data 35-12,Data 35-12,Data 35-12
36,Data 36-1,Data 36-2,Data 36-3,Data 36-4,Data 36-5,Data 36-6,Data 36-7,Data 36-8,Data 36-9,Data 36-10,Data 36-11,Data 36-12,Data 36-12,Data 36-12,Data 36-12,Data 36-12
37,Data 37-1,Data 37-2,Data 37-3,Data 37-4,Data 37-5,Data 37-6,Data 37-7,Data 37-8,Data 37-9,Data 37-10,Data 37-11,Data 37-12,Data 37-12,Data 37-12,Data 37-12,Data 37-12
38,Data 38-1,Data 38-2,Data 38-3,Data 38-4,Data 38-5,Data 38-6,Data 38-7,Data 38-8,Data 38-9,Data 38-10,Data 38-11,Data 38-12,Data 38-12,Data 38-12,Data 38-12,Data 38-12
39,Data 39-1,Data 39-2,Data 39-3,Data 39-4,Data 39-5,Data 39-6,Data 39-7,Data 39-8,Data 39-9,Data 39-10,Data 39-11,Data 39-12,Data 39-12,Data 39-12,Data 39-12,Data 39-12
40,Data 40-1,Data 40-2,Data 40-3,Data 40-4,Data 40-5,Data 40-6,Data 40-7,Data 40-8,Data 40-9,Data 40-10,Data 40-11,Data 40-12,Data 40-12,Data 40-12,Data 40-12,Data 40-12
41,Data 41-1,Data 41-2,Data 41-3,Data 41-4,Data 41-5,Data 41-6,Data 41-7,Data 41-8,Data 41-9,Data 41-10,Data 41-11,Data 41-12,Data 41-12,Data 41-12,Data 41-12,Data 41-12
42,Data 42-1,Data 42-2,Data 42-3,Data 42-4,Data 42-5,Data 42-6,Data 42-7,Data 42-8,Data 42-9,Data 42-10,Data 42-11,Data 42-12,Data 42-12,Data 42-12,Data 42-12,Data 42-12
